"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,GA,,13535,SERFF,1,1/13/2026,,Individual,Yes,,13535GA0140001,"Smile Now Georgia - No Waiting Period PPO",13535GA014,,GAN011,GAS011,,New,PPO,High,,"On the Exchange",,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Available only for emergency services to treat an emergency condition.",Yes,"National Network of providers is available and members may also receive services at aout of network providers.",Yes,,,,,13535GA0140001-01,"Standard High On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$60 ","$60 per person | per group not applicable",,,,,"$60 ","$60 per person | per group not applicable","$60 ","$60 per person | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Smile Now Georgia - No Waiting Period PPO",,,,
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020002,"Connect Bronze HMO $8500 $40",15105GA002,,GAN001,GAS001,GAF011,Existing,HMO,Bronze,Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020002-01,"Standard Bronze On Exchange Plan",60.79%,0.625683694,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$8,500 ","$8500 per person | $17000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$8,500 ","$10 ","$2,000 ","$60 ","$1,200 ","$800 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Bronze HMO $8500 $40","$2,400 ","$10 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020002,"Connect Bronze HMO $8500 $40",15105GA002,,GAN001,GAS001,GAF011,Existing,HMO,Bronze,Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020002-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,Connect-0,"$0 ","$0 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020002,"Connect Bronze HMO $8500 $40",15105GA002,,GAN001,GAS001,GAF011,Existing,HMO,Bronze,Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020002-03,"Limited Cost Sharing Plan Variation",60.79%,0.625683694,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$8,500 ","$8500 per person | $17000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$8,500 ","$10 ","$2,000 ","$60 ","$1,200 ","$800 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Bronze-1 HMO $8500 $40","$2,400 ","$10 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020003,"Connect Bronze HMO $6500 $30",15105GA002,,GAN001,GAS001,GAF001,Existing,HMO,"Expanded Bronze",Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020003-01,"Standard Bronze On Exchange Plan",63.08%,0.651106446,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,500 ","$6500 per person | $13000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$6,500 ","$10 ","$3,000 ","$60 ","$900 ","$900 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Bronze HMO $6500 $30","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020003,"Connect Bronze HMO $6500 $30",15105GA002,,GAN001,GAS001,GAF001,Existing,HMO,"Expanded Bronze",Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020003-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,Connect-0,"$0 ","$0 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020003,"Connect Bronze HMO $6500 $30",15105GA002,,GAN001,GAS001,GAF001,Existing,HMO,"Expanded Bronze",Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020003-03,"Limited Cost Sharing Plan Variation",63.08%,0.651106446,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,500 ","$6500 per person | $13000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$6,500 ","$10 ","$3,000 ","$60 ","$900 ","$900 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Bronze-1 HMO $6500 $30","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020005,"Connect myDiabetesCare Bronze HMO $4500 $25",15105GA002,,GAN001,GAS001,GAF005,Existing,HMO,"Expanded Bronze",Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020005-01,"Standard Bronze On Exchange Plan",64.88%,0.668793168,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,150 ","$10150 per person | $20300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,500 ","$4500 per person | $9000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,500 ","$10 ","$3,200 ","$60 ","$900 ","$900 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect myDiabetesCare Bronze HMO $4500 $25","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020005,"Connect myDiabetesCare Bronze HMO $4500 $25",15105GA002,,GAN001,GAS001,GAF005,Existing,HMO,"Expanded Bronze",Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020005-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,Connect-0,"$0 ","$0 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020005,"Connect myDiabetesCare Bronze HMO $4500 $25",15105GA002,,GAN001,GAS001,GAF005,Existing,HMO,"Expanded Bronze",Yes,Both,No,No,,,Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020005-03,"Limited Cost Sharing Plan Variation",64.88%,0.668793168,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,150 ","$10150 per person | $20300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,500 ","$4500 per person | $9000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,500 ","$10 ","$3,200 ","$60 ","$900 ","$900 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect myDiabetesCare Bronze-1 HMO $4500 $25","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020006,"Connect Silver HMO $3700 $10",15105GA002,,GAN001,GAS001,GAF006,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020006-01,"Standard Silver On Exchange Plan",70.00%,0.714889831,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,125 ","$10125 per person | $20250 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,700 ","$3700 per person | $7400 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$3,700 ","$10 ","$3,500 ","$60 ","$900 ","$700 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Silver HMO $3700 $10","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020006,"Connect Silver HMO $3700 $10",15105GA002,,GAN001,GAS001,GAF006,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020006-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,Connect-0,"$0 ","$0 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020006,"Connect Silver HMO $3700 $10",15105GA002,,GAN001,GAS001,GAF006,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020006-03,"Limited Cost Sharing Plan Variation",70.00%,0.714889831,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,125 ","$10125 per person | $20250 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,700 ","$3700 per person | $7400 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$3,700 ","$10 ","$3,500 ","$60 ","$900 ","$700 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Silver-1 HMO $3700 $10","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020006,"Connect Silver HMO $3700 $10",15105GA002,,GAN001,GAS001,GAF006,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020006-04,"73% AV Level Silver Plan",73.04%,0.744864927,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$8,000 ","$8000 per person | $16000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,000 ","$3000 per person | $6000 per group",35.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$3,000 ","$10 ","$3,300 ","$60 ","$900 ","$700 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Silver-2 HMO $3000 $10","$2,100 ","$300 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020006,"Connect Silver HMO $3700 $10",15105GA002,,GAN001,GAS001,GAF006,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020006-05,"87% AV Level Silver Plan",87.05%,0.879458414,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$3,125 ","$3125 per person | $6250 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$700 ","$700 per person | $1400 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$700 ","$10 ","$3,600 ","$60 ","$700 ","$600 ","$60 ","$20 ",100%,"Not Applicable",No,"Connect Silver-3 HMO $700 $6","$700 ","$100 ","$400 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020006,"Connect Silver HMO $3700 $10",15105GA002,,GAN001,GAS001,GAF006,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020006-06,"94% AV Level Silver Plan",94.02%,0.943686221,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$1,875 ","$1875 per person | $3750 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$200 ","$200 per person | $400 per group",5.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$200 ","$10 ","$600 ","$60 ","$200 ","$500 ","$40 ","$20 ",100%,"Not Applicable",No,"Connect Silver-4 HMO $200 $0","$200 ","$40 ","$90 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020007,"Connect Silver HMO $5000 $5",15105GA002,,GAN001,GAS001,GAF002,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020007-01,"Standard Silver On Exchange Plan",70.07%,0.713925198,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,900 ","$9900 per person | $19800 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$5,000 ","$5000 per person | $10000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$5,000 ","$10 ","$3,000 ","$60 ","$900 ","$600 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Silver HMO $5000 $5","$2,100 ","$200 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020007,"Connect Silver HMO $5000 $5",15105GA002,,GAN001,GAS001,GAF002,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020007-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,Connect-0,"$0 ","$0 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020007,"Connect Silver HMO $5000 $5",15105GA002,,GAN001,GAS001,GAF002,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020007-03,"Limited Cost Sharing Plan Variation",70.07%,0.713925198,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,900 ","$9900 per person | $19800 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$5,000 ","$5000 per person | $10000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$5,000 ","$10 ","$3,000 ","$60 ","$900 ","$600 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Silver-1 HMO $5000 $5","$2,100 ","$200 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020007,"Connect Silver HMO $5000 $5",15105GA002,,GAN001,GAS001,GAF002,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020007-04,"73% AV Level Silver Plan",73.14%,0.744120314,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$8,000 ","$8000 per person | $16000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,800 ","$3800 per person | $7600 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$3,800 ","$10 ","$3,500 ","$60 ","$900 ","$600 ","$0 ","$20 ",100%,"Not Applicable",No,"Connect Silver-2 HMO $3800 $5","$2,100 ","$200 ","$0 ","$0 "
2026,GA,,15105,SERFF,1,1/13/2026,,Individual,No,,15105GA0020007,"Connect Silver HMO $5000 $5",15105GA002,,GAN001,GAS001,GAF002,Existing,HMO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Yes-Emergency Only",Yes,"Yes-Emergency Only",No,,,,,15105GA0020007-05,"87% AV Level Silver Plan",87.15%,0.881619943,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$3,350 ","$3350 per person | $6700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$550 ","$550 per person | $1100 per group",35.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$550 ","$10 ","$4,200 ","$60 ","$550 ","$600 ","$100 ","$20 ",100%,"Not Applicable",No,"Connect Silver-3 HMO $550 $5","$550 ","$100 ","$500 ","$0 "
